timestep,fps,ep_len_min,ep_len_mean,ep_len_max,ep_len_std,return_min,return_mean,return_max,return_std,disc_return_mean,total_loss,value_loss,actor_loss,entropy,min_return_rate,max_return_rate
8192,111.93622036700967,1.0,4.4029365,43.0,4.7426667,-2.0,-0.010331702,2.0,1.0241255,-0.0075443746,0.1502383,0.1520264,-0.0017880902,2.3022308,0.018488308863512777,0.012506797172376292
16384,562.5827915485537,1.0,4.546644,56.0,5.215648,-2.0,-0.0019493178,2.0,1.0266548,-0.0032238823,0.12955564,0.13242084,-0.0028651864,2.3015914,0.018100807574491784,0.014480646059593427
24576,552.600184080307,1.0,4.6254025,70.0,5.529363,-2.0,0.00056785916,2.0,1.0239419,0.00021718159,0.1130625,0.120620534,-0.0075580343,2.3005106,0.016467915956842702,0.013817906492523187
32768,550.6291469553365,1.0,4.5849032,100.0,5.623973,-2.0,0.014759629,2.0,1.0238546,0.013033571,0.10830569,0.12571882,-0.017413124,2.294284,0.01532190047793084,0.014759628900759067
40960,544.9970824827801,1.0,4.637207,100.0,5.8428917,-2.0,0.026489258,2.0,1.0228859,0.022629812,0.09694965,0.119782396,-0.022832738,2.2774858,0.0146484375,0.0152587890625
49152,545.2830100359182,1.0,4.6550293,100.0,5.9928455,-2.0,0.07556152,2.0,1.0201956,0.06729019,0.086340755,0.11179397,-0.025453206,2.2470267,0.012939453125,0.016357421875
57344,542.3626131134965,1.0,4.614746,100.0,6.0112014,-2.0,0.13793945,2.0,1.0137079,0.11780992,0.07682629,0.10359405,-0.026767755,2.2048364,0.0113525390625,0.0181884765625
65536,553.4800260086046,1.0,4.619385,100.0,6.219626,-2.0,0.21716309,2.0,1.0040609,0.18471941,0.07157163,0.09720266,-0.02563103,2.140767,0.010498046875,0.0220947265625
73728,548.0773904567036,1.0,4.6192627,100.0,6.16013,-2.0,0.31201172,2.0,0.9795577,0.26539955,0.067362055,0.09143807,-0.024076011,2.0661225,0.0086669921875,0.0255126953125
81920,544.5791922123695,1.0,4.7282715,100.0,6.8813457,-2.0,0.40686035,2.0,0.93925184,0.34891367,0.049395073,0.07034637,-0.020951297,1.9973123,0.006591796875,0.0250244140625
90112,538.8504211196723,1.0,4.932373,100.0,7.6540217,-2.0,0.47766113,2.0,0.90839666,0.41209963,0.04290185,0.06086917,-0.017967312,1.9377663,0.00537109375,0.0279541015625
98304,544.7003151771626,1.0,5.142212,100.0,8.829807,-2.0,0.54589844,2.0,0.86720455,0.4761669,0.039494224,0.054354466,-0.014860239,1.872538,0.0037841796875,0.029052734375
106496,548.5467904316428,1.0,5.3728027,100.0,9.981707,-2.0,0.6101074,2.0,0.8227036,0.53418285,0.03221902,0.045121107,-0.012902089,1.7874751,0.0023193359375,0.030517578125
114688,549.092246889479,1.0,5.6254883,100.0,11.078373,-2.0,0.67211914,2.0,0.77318585,0.59334266,0.031912044,0.04222086,-0.010308815,1.7073379,0.001220703125,0.031494140625
122880,535.1678323554999,1.0,5.951416,100.0,12.281163,-2.0,0.7180176,2.0,0.73326224,0.6375182,0.027893696,0.03452876,-0.0066350633,1.6500301,0.0009765625,0.032958984375
131072,539.986040845949,1.0,6.2906494,100.0,13.550159,-2.0,0.7570801,2.0,0.6993466,0.67319036,0.028379805,0.026811503,0.0015682997,1.5783485,0.0006103515625,0.0362548828125
139264,537.3437493114058,1.0,6.568115,100.0,14.654835,-2.0,0.79504395,2.0,0.660226,0.70478225,0.025201006,0.025817238,-0.00061623333,1.58751,0.00048828125,0.0390625
147456,551.5207331801669,1.0,6.673218,100.0,15.450061,-2.0,0.8319092,2.0,0.6147141,0.7395112,0.027251562,0.024887674,0.0023638885,1.5503877,0.000244140625,0.040283203125
155648,549.8573747445448,1.0,6.891968,100.0,16.32054,-2.0,0.8676758,2.0,0.566884,0.77023786,0.028699089,0.023063587,0.0056354995,1.4961534,0.0001220703125,0.0416259765625
163840,543.5783632395467,1.0,6.9104004,100.0,16.806648,-2.0,0.89245605,2.0,0.5275901,0.79310787,0.029003292,0.024809789,0.004193503,1.5294085,0.0001220703125,0.0426025390625
172032,541.5797618613412,1.0,7.0821533,100.0,17.586794,-2.0,0.90893555,2.0,0.50000805,0.8084595,0.02941484,0.020698007,0.008716836,1.4067814,0.0001220703125,0.044189453125
180224,539.0086624653895,1.0,7.003784,100.0,18.016495,-1.0,0.9276123,2.0,0.46849915,0.82769257,0.028377907,0.021606682,0.006771224,1.3806721,0.030517578125,0.045654296875
188416,534.8640519336401,1.0,6.786499,100.0,17.879444,-1.0,0.93981934,2.0,0.44487795,0.8408351,0.027811002,0.021108324,0.0067026787,1.3572499,0.02392578125,0.0467529296875
196608,530.3503620263039,1.0,6.6330566,100.0,17.931929,-1.0,0.94921875,2.0,0.42631847,0.8526601,0.022659093,0.019377276,0.0032818152,1.2909998,0.018798828125,0.0479736328125
204800,548.3792678627767,1.0,6.633789,100.0,18.260923,-1.0,0.95422363,2.0,0.41248724,0.85967875,0.026872244,0.017640725,0.009231517,1.299676,0.01513671875,0.048095703125
212992,552.4843173575766,1.0,6.748291,100.0,18.7223,-1.0,0.9544678,2.0,0.40745264,0.8618412,0.023055531,0.016477428,0.0065781027,1.3274629,0.01416015625,0.047119140625
221184,550.5450664865941,1.0,6.8062744,100.0,19.1263,-1.0,0.9569092,2.0,0.4007727,0.8678923,0.025141798,0.018842932,0.006298865,1.2665946,0.012451171875,0.0472412109375
229376,538.9633360967701,1.0,6.6759033,100.0,18.96319,-1.0,0.9610596,2.0,0.386948,0.8742899,0.028482547,0.019893851,0.008588696,1.305555,0.0096435546875,0.0465087890625
237568,531.7889951063122,1.0,6.684204,100.0,19.097147,-1.0,0.96118164,2.0,0.38395166,0.8754519,0.023153877,0.016279029,0.0068748463,1.3121524,0.009033203125,0.0460205078125
245760,544.826200276243,1.0,6.6939697,100.0,19.137415,-1.0,0.961792,2.0,0.38417184,0.87803215,0.029315677,0.019534726,0.009780953,1.2316027,0.00927734375,0.046142578125
253952,549.0439981100343,1.0,6.6831055,100.0,19.166473,-1.0,0.961792,2.0,0.3819411,0.88107634,0.022977654,0.017030966,0.0059466916,1.2902927,0.009521484375,0.0450439453125
262144,536.1109579636192,1.0,6.7524414,100.0,19.341068,-1.0,0.961792,2.0,0.3848068,0.8816754,0.025216332,0.015672386,0.009543945,1.321831,0.009765625,0.0458984375
270336,544.88942820032,1.0,6.672241,100.0,19.257195,-1.0,0.96569824,2.0,0.38454032,0.8874222,0.02820812,0.018814769,0.00939335,1.3167989,0.009765625,0.047607421875
